144,138,71,1
172,138,135,1 : 1 : 3

6756,6702,1943,1
11664,11646,1943,1 : 2 : 15

15684,14940,8059,5
19788,19332,8059,5 : 3 : 76

1270,1119,865,6
1585,1494,865,6 : 4 : 87

256,255,58,9
256,220,183,9 : 5 : 126

8672,7023,6737,12
10428,9391,6737,12 : 6 : 210

642,640,135,17
738,640,519,17 : 7 : 286

493,426,349,18
3765,3764,349,18 : 8 : 304

2991,2720,1879,18
4975,4884,1879,18 : 9 : 310

618,491,490,21
1048,1011,490,21 : 10 : 359

256,255,58,9
256,255,57,22 : 11 : 370

1660,1394,1231,25
2497,2393,1231,25 : 12 : 434

2313,2162,1314,25
2761,2658,1314,25 : 13 : 436

1833,1828,369,26
1833,1585,1296,26 : 14 : 447

46,37,36,3
46,37,30,27 : 15 : 451

87,79,54,20
87,79,48,38 : 16 : 605

479,406,350,47
503,406,392,47 : 17 : 726

185,180,68,57
209,180,146,57 : 18 : 869

478,477,82,51
478,477,75,64 : 19 : 967

279,262,150,71
288,262,177,71 : 20 : 1064

990,989,136,75
1070,989,636,75 : 21 : 1132

1480,1455,544,81
1672,1455,1168,81 : 22 : 1212

202,171,141,76
202,171,138,85 : 23 : 1266

1824,1812,491,85
1830,1812,563,85 : 24 : 1270

391,382,159,24
391,382,150,87 : 25 : 1300

964,850,655,89
1136,1058,655,89 : 26 : 1339

1986,1977,472,95
2484,1977,1966,95 : 27 : 1437

9534,7636,7497,95
13125,12253,7497,95 : 28 : 1447

235,204,163,54
235,198,163,96 : 29 : 1452

4647,4327,2684,96
5151,4327,3818,96 : 30 : 1463

969,830,696,97
1041,830,822,97 : 31 : 1477

372,349,200,99
384,349,236,99 : 32 : 1502

1602,1600,243,101
1602,1587,484,101 : 33 : 1537

229,192,165,76
229,192,157,102 : 34 : 1548

1019,890,706,107
2378,2357,706,107 : 35 : 1623

209,180,146,57
209,166,146,113 : 36 : 1701

8899,8898,619,72
8899,8898,618,115 : 37 : 1737

4351,4234,1863,120
4351,3550,3351,120 : 38 : 1784

362,353,151,20
368,353,151,134 : 39 : 1954

1332,1331,174,37
1332,1331,141,136 : 40 : 1992

11974,11848,3771,141
13434,11848,9131,141 : 41 : 2072

324,277,227,102
330,277,227,144 : 42 : 2097

7082,7077,908,147
8363,7077,6131,147 : 43 : 2160

7632,7083,4468,149
33198,33171,4468,149 : 44 : 2186

2481,2473,528,38
2481,2473,524,150 : 45 : 2195

1479,1278,1046,151
11295,11292,1046,151 : 46 : 2209

577,568,201,90
577,568,174,153 : 47 : 2230

1297,1290,316,153
1489,1290,1048,153 : 48 : 2237

2992,2973,795,166
3198,2973,1859,166 : 49 : 2392

378,321,268,119
385,321,268,168 : 50 : 2418

4533,4509,1136,178
4813,4509,2706,178 : 51 : 2544

13538,11774,9469,179
58086,58002,9469,179 : 52 : 2574

396,379,197,24
408,379,197,180 : 53 : 2575

408,388,197,123
408,379,197,180 : 54 : 2575

292,255,201,58
292,220,201,183 : 55 : 2606

526,447,366,193
562,495,366,193 : 56 : 2737

2973,2757,1745,199
9936,9918,1745,199 : 57 : 2814

2097,2062,764,201
2097,1870,1388,201 : 58 : 2840

7628,6830,5003,205
15074,14888,5003,205 : 59 : 2898

12152,10850,8027,205
15593,14849,8027,205 : 60 : 2901

794,782,281,55
794,776,281,223 : 61 : 3123

326,277,230,107
356,277,230,227 : 62 : 3165

2397,1994,1800,229
2421,1994,1842,229 : 63 : 3202

1700,1503,1146,233
1830,1503,1396,233 : 64 : 3254

453,397,312,26
453,397,260,234 : 65 : 3264

419,362,292,107
419,362,236,235 : 66 : 3269

1312,1299,405,34
1312,1299,376,237 : 67 : 3298

368,305,271,116
396,305,271,240 : 68 : 3330

515,467,326,46
515,467,274,242 : 69 : 3363

691,660,304,243
691,628,408,243 : 70 : 3374

2544,2361,1487,250
11066,11057,1487,250 : 71 : 3460

2629,2620,552,261
2629,2481,1423,261 : 72 : 3591

2458,2451,496,165
2458,2451,477,262 : 73 : 3608

3754,3735,928,33
3754,3735,921,262 : 74 : 3613

4880,4866,993,263
4880,4409,3124,263 : 75 : 3628

705,668,321,268
1582,1575,321,268 : 76 : 3684

465,369,362,142
489,369,362,268 : 77 : 3685

531,475,348,74
531,475,282,272 : 78 : 3745

11748,11705,2607,274
12265,11705,6226,274 : 79 : 3766

758,727,368,113
758,727,305,284 : 80 : 3880

517,436,381,6
517,436,318,285 : 81 : 3901

1658,1649,404,199
1658,1649,367,290 : 82 : 3953

1181,1160,437,142
1181,1160,394,293 : 83 : 3997

6746,6737,1070,127
6746,6737,1063,296 : 84 : 4051

3639,3631,678,176
3639,3631,662,300 : 85 : 4103

3161,3152,641,178
3161,3152,622,305 : 86 : 4176

5958,5490,3583,305
5958,5212,4119,305 : 87 : 4186

13765,13677,3676,306
13765,12678,8293,306 : 88 : 4204

2091,1962,1160,307
7678,7669,1160,307 : 89 : 4210

662,569,463,188
680,569,463,314 : 90 : 4282

838,766,513,159
838,748,513,327 : 91 : 4453

575,471,404,270
575,471,366,332 : 92 : 4521

3340,3330,667,333
3340,3099,1954,333 : 93 : 4539

614,503,470,73
614,503,404,337 : 94 : 4580

745,636,522,241
745,636,489,340 : 95 : 4616

2105,2097,404,342
2105,2033,960,342 : 96 : 4644

14527,14526,847,294
14527,14526,840,343 : 97 : 4657

724,607,534,153
724,607,486,345 : 98 : 4677

2902,2895,544,249
2902,2895,513,346 : 99 : 4697

2533,2517,670,174
2533,2517,642,346 : 100 : 4698

6189,5391,4315,347
11097,10875,4315,347 : 101 : 4727

2051,1908,1179,350
2051,1852,1307,350 : 102 : 4765

1524,1509,467,118
1530,1509,467,352 : 103 : 4773

1530,1509,523,134
1530,1509,467,352 : 104 : 4773

640,531,469,210
640,531,406,357 : 105 : 4836

670,537,471,346
670,537,463,360 : 106 : 4882

6194,6191,668,361
6612,6191,3726,361 : 107 : 4908

1026,960,569,223
1038,960,569,367 : 108 : 4963

979,915,556,72
979,915,492,376 : 109 : 5068

9469,9460,1341,192
9469,9460,1332,381 : 110 : 5120

1977,1945,678,386
2265,1945,1614,386 : 111 : 5191

2008,1929,972,55
2008,1929,951,388 : 112 : 5206

3903,3896,639,388
3903,3711,2024,388 : 113 : 5209

5302,4675,3604,389
6248,5819,3604,389 : 114 : 5231

1977,1641,1490,58
1977,1641,1481,391 : 115 : 5248

14680,13879,7884,393
14932,13879,8688,393 : 116 : 5277

1031,890,719,268
1031,872,719,394 : 117 : 5280

3103,3082,815,394
3103,2778,2031,394 : 118 : 5286

5076,4474,3453,395
41453,41445,3453,395 : 119 : 5303

1174,1047,738,409
1210,1047,822,409 : 120 : 5448

15956,15944,2087,409
15956,14447,10154,409 : 121 : 5462

1202,1133,643,254
1214,1133,643,410 : 122 : 5465

644,547,446,245
686,547,446,413 : 123 : 5510

1620,1529,846,415
1746,1529,1188,415 : 124 : 5529

1049,929,698,232
1049,905,698,418 : 125 : 5551

990,912,517,419
1067,912,726,419 : 126 : 5564

5027,5016,912,419
5027,4768,2648,419 : 127 : 5567

815,727,536,146
815,678,536,423 : 128 : 5601

9197,8816,4525,428
9197,7948,6509,428 : 129 : 5667

2417,2384,788,433
2454,2384,1047,433 : 130 : 5710

2649,2564,1182,433
2649,2520,1358,433 : 131 : 5712

1873,1801,900,6
1873,1801,864,438 : 132 : 5765

1126,955,804,333
1126,955,774,453 : 133 : 5935

3337,3324,753,178
3337,3324,696,457 : 134 : 5982

7425,7418,1020,457
8025,7418,4770,457 : 135 : 5996

1137,1081,480,458
1329,1081,996,458 : 136 : 6006

7571,7533,1857,461
12449,12435,1857,461 : 137 : 6054

3044,2587,2210,461
3086,2587,2288,461 : 138 : 6056

16691,16690,902,467
17378,16690,8429,467 : 139 : 6137

970,907,549,102
1006,907,549,474 : 140 : 6187

6431,6428,671,412
6431,6428,640,479 : 141 : 6240

1453,1389,688,396
1453,1389,652,480 : 142 : 6255

1296,1217,639,484
1548,1217,1215,484 : 143 : 6296

18444,18433,2238,215
18444,18433,2231,486 : 144 : 6324

14738,14735,1238,385
14738,14735,1225,488 : 145 : 6345

1111,1068,535,24
1111,1032,535,492 : 146 : 6401

3568,3561,562,447
3568,3561,526,495 : 147 : 6430

13089,13088,801,16
13089,13088,729,502 : 148 : 6522

7218,6077,5331,502
7656,6077,6075,502 : 149 : 6530

9120,7499,6957,502
9306,7499,7269,502 : 150 : 6533

1788,1515,1282,509
2174,2003,1282,509 : 151 : 6596

896,823,545,14
948,823,545,510 : 152 : 6606

3369,3358,681,386
3369,3358,620,513 : 153 : 6641

863,738,620,135
863,642,620,519 : 154 : 6698

2708,2690,727,209
2714,2690,727,521 : 155 : 6715

1229,1178,605,58
1229,1142,605,526 : 156 : 6776

2286,1847,1780,177
2295,1847,1780,528 : 157 : 6801

1321,1074,972,529
1402,1191,972,529 : 158 : 6816

1038,911,592,537
1044,911,610,537 : 159 : 6887

9897,9886,1473,320
9897,9886,1454,537 : 160 : 6890

1314,1189,755,540
1317,1189,764,540 : 161 : 6926

7768,7759,1164,369
7768,7759,1137,540 : 162 : 6927

1481,1409,740,358
1481,1409,662,544 : 163 : 6984

4882,4869,958,363
4882,4869,915,544 : 164 : 6986

8122,8079,2038,33
8122,8079,2025,544 : 165 : 6987

2503,2439,1054,114
2503,2439,1002,550 : 166 : 7037

1568,1400,979,557
2012,1916,979,557 : 167 : 7106

1962,1830,1093,491
1962,1824,1093,563 : 168 : 7164

1107,955,786,8
1107,955,674,564 : 169 : 7177

6647,6603,1791,365
6647,6602,1791,564 : 170 : 7183

1054,921,730,87
1054,921,591,568 : 171 : 7214

3243,3110,1566,571
3459,3110,2232,571 : 172 : 7245

1294,1195,762,261
1294,1195,648,573 : 173 : 7262

7596,6323,5701,582
7806,6323,6061,582 : 174 : 7365

5104,5091,982,405
5104,5091,933,586 : 175 : 7398

8992,8943,2278,9
8992,8943,2265,586 : 176 : 7400

5974,5955,1258,333
5974,5955,1221,592 : 177 : 7468

9913,9354,5377,600
9913,8913,6430,600 : 178 : 7562

3196,3063,1545,604
8290,8271,1545,604 : 179 : 7589

1266,1147,797,240
1308,1147,797,606 : 180 : 7605

2271,2034,1454,607
19143,19140,1454,607 : 181 : 7620

1767,1642,950,615
1824,1642,1121,615 : 182 : 7693

2260,1879,1672,617
6497,6458,1672,617 : 183 : 7725

13768,13711,3184,113
13768,13711,3176,625 : 184 : 7810

1598,1355,1117,584
1604,1355,1117,626 : 185 : 7821

6910,6325,4248,627
23890,23845,4248,627 : 186 : 7842

1367,1319,634,170
1410,1319,634,633 : 187 : 7881

4663,4330,2712,639
7646,7529,2712,639 : 188 : 7930

3435,2995,2388,362
3435,2987,2388,640 : 189 : 7943

2173,2034,1224,229
2173,2034,1165,642 : 190 : 7969

2173,2046,1165,486
2173,2034,1165,642 : 191 : 7969

20155,20154,1003,594
20155,20154,984,643 : 192 : 7977

1657,1585,828,6
1657,1585,668,646 : 193 : 8005

3305,2888,2273,646
4769,4586,2273,646 : 194 : 8010

7596,7336,3509,651
8574,7336,6173,651 : 195 : 8063

1070,907,734,437
1124,907,734,653 : 196 : 8077

3468,3373,1494,11
3468,3373,1451,654 : 197 : 8090

30154,30145,2904,375
30154,30145,2895,654 : 198 : 8095

9974,9911,2640,657
11028,9911,7162,657 : 199 : 8140

11028,9911,7162,657
35593,35496,7162,657 : 200 : 8141

2013,1934,973,126
2013,1934,861,658 : 201 : 8144

1243,1164,667,360
1243,1100,667,664 : 202 : 8207

1852,1695,1056,673
2032,1695,1476,673 : 203 : 8304

1446,1275,862,677
1704,1587,862,677 : 204 : 8353

1731,1579,1044,482
1731,1579,978,680 : 205 : 8385

2004,1823,1185,688
2172,1823,1569,688 : 206 : 8478

2831,2792,887,610
2831,2792,839,694 : 207 : 8532

1583,1412,1031,382
1583,1412,935,694 : 208 : 8533

2202,2051,1197,694
2592,2051,2037,694 : 209 : 8538

6126,5799,3266,361
6126,5799,3257,694 : 210 : 8540

1844,1784,839,121
1844,1748,839,697 : 211 : 8566

1987,1888,1035,186
