1,6,8,9	5,4,7,1	51 |	(3 17 )
1,71,138,144	141,3,36,35	14283 |	(3 3 3 23 23 )
1,135,138,172	155,17,68,67	98617 |	(17 5801 )
1,236,1207,1210	723,487,604,603	34584975 |	(3 3 3 3 3 5 5 5693 )
1,242,720,729	365,364,481,239	-6801379 |	()
1,372,426,505	253,252,399,27	11831841 |	(3 3 7 109 1723 )
1,426,486,577	289,288,456,30	17815968 |	(2 2 2 2 2 3 3 61861 )
1,566,823,904	735,169,412,411	21533241 |	(3 41 175067 )
1,575,2292,2304	2298,6,288,287	7879896 |	(2 2 2 3 3 3 191 191 )
1,791,812,1010	911,99,396,395	20219859 |	(3 3 11 167 1223 )
1,1124,5610,5625	2813,2812,3367,2243	-3176924599 |	(3 7253 51383 )
1,1851,8675,8703	8689,14,926,925	263816794 |	(2 131908397 )
1,1938,2820,3097	1549,1548,2379,441	1218371067 |	(3 3 19 7124977 )
1,1943,6702,6756	6729,27,972,971	305159643 |	(3 3 3 3 3 1255801 )
1,1943,11646,11664	11655,9,972,971	305165961 |	(3 3 3 3 3 3 647 647 )
1,2196,5984,6081	3041,3040,4090,1894	-3570071160 |	(2 2 2 7321 12377 )
1,2676,3230,3753	1877,1876,2953,277	4193892111 |	()
1,3086,21588,21609	10805,10804,12337,9251	-146671052719 |	()
1,3318,16806,16849	8425,8424,10062,6744	-84847698936 |	(2 2 2 131455873 )
1,3453,24965,24987	24976,11,1727,1726	1713961282 |	(2 11 77907331 )
1,4607,36840,36864	36852,12,2304,2303	4071556800 |	(2 2 2 2 2 2 )
1,7251,49409,49461	49435,26,3626,3625	15878249350 |	(2 *)
1,7676,11903,12884	10280,2604,5952,5951	64364618496 |	(2 2 2 2 2 2 2 2 )
2,17,40,41	29,12,21,19	1713 |	(3 571 )
2,514,947,995	971,24,258,256	5587800 |	(2 2 2 3 5 5 67 139 )
2,601,2831,2840	1421,1419,1716,1115	-417988461 |	()
2,1987,2526,2883	2435,448,1264,1262	640000448 |	(2 2 2 2 2 2 941 10627 )
2,8297,10303,11852	5927,5925,9300,1003	121391804325 |	(2437 464801 )
